PBO Assigned To,Address
Serenity House,908 S. Harrison ST
Briana's Pancake House,10 N Island AVE
Generations Chiropractic,14 N Island AVE
Craft & Smoke,20 N Island AVE
Elan Hair Salon,22 N Island AVE
The Attic-Christian Arts Center,26 N Island AVE
North Island Sandwich Shoppe,28 N Island AVE
Asian Massage,30 N Island AVE
Bulldogs Resturaunt,32 N Island AVE
Batavia Creamery,4 N Island AVE
El Sazon,8 N Island AVE
Holmstad Building B,700 W Fabyan PKY
Holmstad Building A,700 W Fabyan PKY
Holmstad Town Center,700 W Fabyan PKY
Holmstad Building D,700 W Fabyan PKY
Holmstad Building C,700 W Fabyan PKY
Holmstad Building F,700 W Fabyan PKY
Holmstad Building E,700 W Fabyan PKY
Ekstam Center,831 N Batavia AVE
Michealson Health Care,831 N Batavia AVE
Pinnacle,1510 Hubbard AVE
Super Sport Auto,1521 Hubbard AVE
Hoffman House Catering,1530 Hubbard AVE
Super Sport Auto,1530 Hubbard AVE
"The Parksite Group, Inc.",1563 Hubbard AVE
Waste Management,1660 Hubbard AVE
Feece Oil Co.,1700 Hubbard AVE
Vacant,1705 Hubbard AVE
A&P Grease Trappers,1740 Hubbard AVE
"Byus Const. Steel Fabricators, Inc.",1750 Hubbard AVE
"Stevenson Paper Co, Inc.",1775 Hubbard AVE
D.S. Containers,1789 Hubbard AVE
Agco,1030 E Fabyan PKY
Masterfeed Corp.,1326 Hollister DR
Neri Landscape,1336 Hollister DR
Vacant ( Old MIC ),1344 Hollister DR
Kwalyti Tooling,1690 E Fabyan PKY
SCR Medical Transportation,1798 Hagemann DR
Turn Key Network Solutions,1806 Hagemann DR
Vacant,1820 E Fabyan PKY
Winslyn Industries,1850 E Fabyan PKY
Sapp Violins,1880 E Fabyan PKY
Platinum LLC,1884 E Fabyan PKY
22 Creative Group,1886 E Fabyan PKY
Vacant,1888 E Fabyan PKY
Citgo Batavia,200 E Fabyan PKY
Batavia Rehabilitation & Health Care,520 E Fabyan PKY
7 Eleven Gas Station and Store,710 E Fabyan PKY
Avantor,800 E Fabyan PKY
Immanuel Lutheran Church,950 Hart RD
Prince Industries,1050 Kingsland DR
Safety Supply Illinois/Emergent safety s,1055 Kingsland DR
Hahn Systems,1061 Kingsland DR
Maxon Plastics,1069 Kingsland DR
"Balas, Inc.",1080 Kingsland DR
Eagle Flexible Packaging,1100 Kingsland DR
Lineage Logistics,1251 Kingsland DR
Vacant,1260 Kingsland DR
Vacant,1280 Kingsland DR
Cast Aluminum Solutions - Watlow,1310 Kingsland DR
Somerset,1375 Kingsland DR
AGS Technology,1412 Kingsland DR
Sprinkler Room,1485 Louis Bork DR
"Unique Mold & Machine, INC",1485 Louis Bork DR
Supreme Sports,1485 Louis Bork DR
Trademark Specialty Construction,1485 Louis Bork DR
Richard Mueller,1485 Louis Bork DR
Graf Tree Care,1485 Louis Bork DR
Victor Auto,1485 Louis Bork DR
Arrow Heating and Cooling Inc,1485 Louis Bork DR
Lawn Doctor,1485 Louis Bork DR
Accurate GK Service INC,1485 Louis Bork DR
Floral Wonders,1485 Louis Bork DR
Edge One,1485 Louis Bork DR
Taco Grill,107 N Batavia AVE
Shell Station (Batavia Ave),108 N Batavia AVE
Insurance Direct,113 N Batavia AVE
Winklez Beauty,13 S Batavia AVE
Sew Elegant,17 S Batavia AVE
Jordan-Apartments,205 N Batavia AVE
Gammon Coach House,3 S Batavia AVE
Holy Heart of Mary ( Retreat House ),715 N Batavia AVE
Holy Heart of Mary ( Main House ),717 N Batavia AVE
Bee-Attitudes Antiques,9 S Batavia AVE
Revere House Apartments,233 S Batavia AVE
Windmill Manor Apartments,2400 Hawks DR
Tanglewood Hills Clubhouse,2701 Hapner WAY
Van Aken Stables,2S315 Deerpath RD
Play it Again Sports,315 Main ST
MCL,317 Main ST
Hearth & Hammer,319 Main ST
MJT Accounting,321 Main ST
Valley Sheltered Workshop,325 Main ST
Marconi Apartments,359 Main ST
Apartments - Morton,629 S Batavia AVE
Complete Electric,639 Main ST
Ollie's Garage,709 Main ST
Waveform,711 Main ST
Worth A Shot Photography & Film,713 Main ST
Lume's House of Pancakes,1902 W Fabyan PKY
Walgreen's Drug Store,1918 W Fabyan PKY
Vacant,1934 W Fabyan PKY
Vacant,1938 W Fabyan PKY
Trader Joe's,1942 W Fabyan PKY
Dover saddlery,1948 W Fabyan PKY
Toys 'n' Hobbies,1952 W Fabyan PKY
Dollar Tree,1964 W Fabyan PKY
Sierra Trading Post,1980 W Fabyan PKY
Advocate  Medical Group,2500 W Fabyan PKY
Dr. Randy Wright D.D.S.,2550 W Fabyan PKY
United Vein Centers,2554 W Fabyan PKY
Bucek Chiropractic,2562 W Fabyan PKY
FMC Dialysis Center,2580 W Fabyan PKY
Papa John's Pizza,804 N Randall RD
Edward Jones Investment,812 N Randall RD
Vacant,820 N Randall RD
Lee Nails Spa,828 N Randall RD
Sports Clips Haircuts,834 N Randall RD
Vacant,842 N Randall RD
Lume's House of Pancakes,1902 W Fabyan PKY
Walgreen's Drug Store,1918 W Fabyan PKY
Vacant,1934 W Fabyan PKY
Vacant,1938 W Fabyan PKY
Trader Joe's,1942 W Fabyan PKY
Dover saddlery,1948 W Fabyan PKY
Toys 'n' Hobbies,1952 W Fabyan PKY
Dollar Tree,1964 W Fabyan PKY
Sierra Trading Post,1980 W Fabyan PKY
Advocate  Medical Group,2500 W Fabyan PKY
Dr. Randy Wright D.D.S.,2550 W Fabyan PKY
United Vein Centers,2554 W Fabyan PKY
Bucek Chiropractic,2562 W Fabyan PKY
FMC Dialysis Center,2580 W Fabyan PKY
Papa John's Pizza,804 N Randall RD
Edward Jones Investment,812 N Randall RD
Vacant,820 N Randall RD
Lee Nails Spa,828 N Randall RD
Sports Clips Haircuts,834 N Randall RD
Vacant,842 N Randall RD
CFC Wire Forms,1000 Douglas RD
MSG marketing,1047 Douglas RD
Midwest Restoration,1180 Douglas RD
CHIVARI,1200 Douglas RD
Cast Aluminum Solutions,1250 Douglas RD
CS Packaging,1270 Douglas RD
Euro Pro Automotive,1701 E Fabyan PKY
Microscope,1801 E Fabyan PKY
P & J Masonry,1805 E Fabyan PKY
Fox Welding,1809 E Fabyan PKY
Vacant,1813 E Fabyan PKY
James Thomas Renovations,1817 E Fabyan PKY
"Duke Hauling, LLC",1821 E Fabyan PKY
BP Communications,1825 E Fabyan PKY
Paws In Time Pet Resort,1891 E Fabyan PKY
Techmer PM,900 Douglas RD
ALFAGOMMA,950 Douglas RD
AGS Technology Inc,951 Douglas RD
Batavia Bio Processing Limited,970 Douglas RD
Alton Industries,1031 N Raddant RD
Fox Valley Contractors,1061 N Raddant RD
Fona International,1100 N Raddant RD
S.I Tech,1101 N Raddant RD
GES Biotek,1141 N Raddant RD
Moline Bearing Co.,1181 N Raddant RD
NHanced Semiconductors,1201 N Raddant RD
Prairie Gymnastics Club,1241 N Raddant RD
Environmental Solutions International,1261 N Raddant RD
Voxline,1281 N Raddant RD
First Student,1311 N Raddant RD
,1313 N Raddant RD
AGCO Company,1500 N Raddant RD
"Flinn Scientific, Inc.",770 N Raddant RD
A&P Grease Trappers,801 N Raddant RD
Valor Carts,851 N Raddant RD
Bulldogs Cellar,1 E Wilson ST
Black Cactus Print House,11 E Wilson ST
Riverview Child & Family Therapy,13 E Wilson ST
Verita,15 E Wilson ST
Urban Style Salon and Spa,3 E Wilson ST
Downtown Batavia,5 E Wilson ST
Geneva Winery,5 N River ST
Foltos' Tonsorial Parlor,7 E Wilson ST
Thin Line Tattoo,9 E Wilson ST
Geneva Winery,9 N River ST
Dual Fuel Systems,1245 Paramount PKY
RMF,1275 Paramount PKY
Aldi Research,1315 Paramount PKY
State Automatic,1335 Paramount PKY
"Tek Pak, Inc.",1336 Paramount PKY
Vacant,1350 Paramount PKY
Treasure Keeper,1355 Paramount PKY
Dock and Door National,1375 Paramount PKY
Luxury Auto Finder,1395 Paramount PKY
"Batavia Container, Inc.",1400 Paramount PKY
True North Quality Homes,1405 Paramount PKY
Bert's Auto Service,1407 Paramount PKY
360 Cabinetry Inc,1417 Paramount PKY
Pancho's Auto Repair,1419 Paramount PKY
Vacant,1421 Paramount PKY
Inside Out Company,1425 Paramount PKY
Common Hallways,106 W Wilson ST
Walgreens,122 W Wilson ST
McDonalds Restaurant,125 W Wilson ST
Daddio's Diner,134 W Wilson ST
Great Clips,136 W Wilson ST
Windmill Laundry,138 W Wilson ST
East China Inn,140 W Wilson ST
Riverside Pizza & Pub,142 W Wilson ST
Overflow,144 W Wilson ST
Panera Bread (Vacant),154 W Wilson ST
BMO Harris Bank (Wilson St),155 W Wilson ST
Vacant,158 W Wilson ST
Prarie Path Cycle,160 W Wilson ST
5/3 Bank,165 W Wilson ST
AT & T Store,201 N Randall RD
Vacant,205 N Randall RD
Swordfish Restaurant,207 N Randall RD
Kohls Department Store,251 N Randall RD
Menards,300 N Randall RD
The Edge Fitness Clubs,301 N Randall RD
Office Max,321 N Randall RD
Hobby Town,341 N Randall RD
Vacant,345 N Randall RD
Vacant,381 N Randall RD
Petland,401 N Randall RD
Hobby Lobby,421 N Randall RD
Aldi,451 N Randall RD
Roy Bach & Assoc.,111 Union AVE
Moka Coffee,132 Independence DR
"Merlin 200,000 Mile Shop",162 Independence DR
Pitz Building Common Areas-201 Houston,201 Houston ST
Edward D. Jones,201 Houston ST
Shiva Therapeutics and US LBM and Fireth,201 Houston ST
Vacant,201 Houston ST
Stronger Therapeutic Counseling,201 Houston ST
Vacant,201 Houston ST
Kennedy and Company CPAs,201 Houston ST
Vacant,201 Houston ST
